"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1315","42.3464","2.9461","12767.4097","12723.7136","112.9154","2.1327","99.6950","12749.8777"
"1316","42.3634","2.9473","12766.2652","12722.5677","112.8985","2.1319","99.6950","12746.0754"
"1317","42.3804","2.9484","12765.1740","12721.4218","112.6888","2.1310","99.6950","12698.7685"
"1318","42.3974","2.9495","12764.1167","12720.2759","112.4935","2.1302","99.6950","12654.7963"
"1319","42.4144","2.9507","12763.0739","12719.1300","112.4799","2.1294","99.6950","12651.7191"
"1320","42.4314","2.9518","12762.0269","12717.9841","112.9451","2.1286","99.6950","12756.5942"
"1321","42.4484","2.9529","12760.9576","12716.8381","113.3833","2.1278","99.6950","12855.7753"
"1322","42.4654","2.9540","12759.8485","12715.6922","112.6176","2.1270","99.6950","12682.7158"
"1323","42.4824","2.9552","12758.6839","12714.5463","113.0967","2.1262","99.6950","12790.8603"
"1324","42.4994","2.9563","12757.4496","12713.4004","113.4860","2.1254","99.6950","12879.0807"
"1325","42.5164","2.9574","12756.1341","12712.2545","112.5188","2.1245","99.6950","12660.4752"
"1326","42.5334","2.9586","12754.7287","12711.1086","112.8975","2.1237","99.6950","12745.8564"
"1327","42.5504","2.9597","12753.2274","12709.9627","112.1637","2.1229","99.6950","12580.7045"
"1328","42.5674","2.9608","12751.6278","12708.8168","113.2823","2.1221","99.6950","12832.8754"
"1329","42.5844","2.9619","12749.9302","12707.6709","112.2324","2.1213","99.6950","12596.1011"
"1330","42.6014","2.9631","12748.1380","12706.5250","112.4606","2.1205","99.6950","12647.3754"
"1331","42.6184","2.9642","12746.2569","12705.3791","112.4069","2.1197","99.6950","12635.3114"
"1332","42.6354","2.9653","12744.2949","12704.2332","112.9406","2.1189","99.6950","12755.5786"
"1333","42.6524","2.9664","12742.2615","12703.0873","112.7291","2.1181","99.6950","12707.8550"
"1334","42.6694","2.9676","12740.1676","12701.9414","112.3858","2.1173","99.6950","12630.5677"
"1335","42.6864","2.9687","12738.0248","12700.7955","112.9747","2.1165","99.6950","12763.2816"
"1336","42.7034","2.9698","12735.8450","12699.6496","112.1870","2.1157","99.6950","12585.9131"
"1337","42.7204","2.9710","12733.3065","12698.1697","113.0924","2.1149","99.6950","12789.8863"
"1338","42.7374","2.9721","12730.7547","12696.6899","113.2052","2.1141","99.6950","12815.4277"
"1339","42.7544","2.9732","12728.2005","12695.2101","111.6785","2.1133","99.6950","12472.0985"
"1340","42.7714","2.9743","12725.6543","12693.7303","112.1070","2.1125","99.6950","12567.9853"
"1341","42.7884","2.9755","12723.1252","12692.2504","112.3140","2.1117","99.6950","12614.4415"
"1342","42.8054","2.9766","12720.6213","12690.7706","112.6383","2.1109","99.6950","12687.3818"
"1343","42.8224","2.9777","12718.1500","12689.2908","112.4639","2.1101","99.6950","12648.1343"
"1344","42.8394","2.9788","12715.7173","12687.8109","112.5609","2.1093","99.6950","12669.9658"
"1345","42.8564","2.9800","12713.3287","12686.3311","112.8721","2.1085","99.6950","12740.1212"
"1346","42.8734","2.9811","12710.9885","12684.8513","112.2945","2.1077","99.6950","12610.0454"
"1347","42.8904","2.9822","12708.7007","12683.3714","112.9255","2.1069","99.6950","12752.1704"
"1348","42.9074","2.9833","12706.4684","12681.8916","113.3258","2.1061","99.6950","12842.7296"
"1349","42.9244","2.9845","12704.2943","12680.4118","113.0604","2.1053","99.6950","12782.6650"
"1350","42.9414","2.9856","12702.1809","12678.9320","112.4434","2.1045","99.6950","12643.5237"
"1351","42.9584","2.9867","12700.1303","12677.4521","112.6093","2.1037","99.6950","12680.8629"
"1352","42.9754","2.9878","12699.6935","12677.5212","112.3244","2.1029","99.6950","12616.7655"
"1353","42.9924","2.9890","12699.3237","12677.5903","112.7953","2.1021","99.6950","12722.7698"
"1354","43.0094","2.9901","12699.0232","12677.6593","113.6605","2.1013","99.6950","12918.7010"
"1355","43.0264","2.9912","12698.7811","12677.7284","113.0085","2.1005","99.6950","12770.9122"
"1356","43.0434","2.9924","12698.6279","12677.7975","112.9415","2.0997","99.6950","12755.7727"
"1357","43.0604","2.9935","12698.5538","12677.8665","112.8932","2.0990","99.6950","12744.8736"
"1358","43.0774","2.9946","12698.5634","12677.9356","112.6918","2.0982","99.6950","12699.4418"
"1359","43.0944","2.9957","12698.6625","12678.0047","113.2667","2.0974","99.6950","12829.3424"
"1360","43.1114","2.9969","12698.8580","12678.0737","113.0401","2.0966","99.6950","12778.0704"
"1361","43.1284","2.9980","12699.1513","12678.1428","112.7499","2.0958","99.6950","12712.5380"
"1362","43.1454","2.9991","12699.5655","12678.2119","113.8256","2.0950","99.6950","12956.2757"
"1363","43.1624","3.0002","12700.1050","12678.2809","113.1894","2.0942","99.6950","12811.8459"
"1364","43.1794","3.0014","12700.7823","12678.3500","113.1560","2.0934","99.6950","12804.2860"
"1365","43.1964","3.0025","12701.6116","12678.4191","114.1375","2.0927","99.6950","13027.3672"
"1366","43.2134","3.0036","12702.6084","12678.4881","113.5242","2.0919","99.6950","12887.7478"
"1367","43.2304","3.0047","12703.3134","12678.0809","112.9946","2.0911","99.6950","12767.7852"
"1368","43.2474","3.0059","12704.2206","12677.6737","113.7129","2.0903","99.6950","12930.6167"
"1369","43.2644","3.0070","12705.3489","12677.2665","113.7313","2.0895","99.6950","12934.8168"
"1370","43.2814","3.0081","12706.7170","12676.8592","113.4151","2.0888","99.6950","12862.9795"
"1371","43.2984","3.0092","12708.3437","12676.4520","113.7164","2.0880","99.6950","12931.4193"
"1372","43.3154","3.0104","12710.2470","12676.0448","113.4581","2.0872","99.6950","12872.7329"
"1373","43.3324","3.0115","12712.4434","12675.6376","113.4890","2.0864","99.6950","12879.7528"
"1374","43.3494","3.0126","12714.9472","12675.2303","113.8144","2.0856","99.6950","12953.7190"
"1375","43.3664","3.0137","12717.7696","12674.8231","113.9197","2.0849","99.6950","12977.6973"
"1376","43.3834","3.0149","12720.9179","12674.4159","114.0615","2.0841","99.6950","13010.0260"
"1377","43.4004","3.0160","12724.3946","12674.0087","114.6095","2.0833","99.6950","13135.3276"
"1378","43.4174","3.0171","12728.1961","12673.6014","115.7108","2.0825","99.6950","13388.9781"
"1379","43.4344","3.0182","12732.3120","12673.1942","115.0055","2.0817","99.6950","13226.2616"
"1380","43.4514","3.0194","12736.7232","12672.7870","114.6305","2.0810","99.6950","13140.1404"
"1381","43.4684","3.0205","12741.4012","12672.3798","114.4152","2.0802","99.6950","13090.8440"
"1382","43.4854","3.0216","12745.7844","12671.4505","115.4442","2.0794","99.6950","13327.3532"
"1383","43.5024","3.0227","12750.3421","12670.5213","116.0250","2.0787","99.6950","13461.7890"
"1384","43.5194","3.0238","12755.0076","12669.5921","115.7847","2.0779","99.6950","13406.0886"
