specific_capacity_discharge,voltage_discharge,specific_power_discharge
9.181559486803076,3.3851,-127.23705381296428
9.285900380348275,3.38406,-127.16051337429776
9.390241273893478,3.38306,-127.19567469979464
9.49458216743869,3.38201,-127.08668994088067
9.598923060983893,3.38097,-127.09357703111976
9.70326395452909,3.38,-126.98337333975452
9.807604848074302,3.37899,-126.97427498141516
9.9119457416195,3.37802,-126.94850550305826
10.01619880612973,3.37699,-126.93328788014443
10.12053969967494,3.37605,-126.90329271574906
10.224880593220142,3.37506,-126.88955644579562
10.329221486765343,3.37404,-126.83947327219964
10.433562380310557,3.373,-126.78651242734922
10.537903273855754,3.37195,-126.73211812833216
10.642244167400955,3.37088,-126.70256121149892
10.746585060946169,3.36982,-126.65952212956832
10.850925954491368,3.36867,-126.5822138462662
10.955266848036567,3.36767,-126.54250791837067
11.059607741581768,3.36661,-126.53141838165584
11.16394863512698,3.36557,-126.48062523783987
11.268201699637206,3.36453,-126.47026419659636
11.37254259318242,3.36345,-126.45306413148543
11.47688348672762,3.36237,-126.31677855248066
11.581224380272822,3.36128,-126.40442662310244
11.685565273818032,3.36014,-126.2871860395935
11.789906167363233,3.359,-126.23371974848364
11.894247060908434,3.35785,-126.1883784922397
11.998587954453637,3.35672,-126.19155071151296
12.102928847998848,3.35568,-126.1768565795094
12.207269741544048,3.3546,-126.10867003323048
12.311610635089249,3.3536,-126.03184408626076
12.41595152863446,3.35257,-125.99631568633856
12.52029242217966,3.35155,-126.02156453209324
12.62463331572486,3.3505,-125.91534279908656
12.728974209270062,3.34943,-125.93867334067528
12.833402931850236,3.34829,-125.86722501269428
12.937919483465382,3.34712,-125.7819689697044
13.041557744730818,3.34594,-125.78311673850448
13.146074296345963,3.34479,-125.7694970489476
13.250590847961114,3.3436,-125.70783601693128
13.35510739957626,3.34247,-125.6516130267666
13.459623951191409,3.3413,-125.61291220521304
13.563262212456843,3.34016,-125.55738173504436
13.667778764071992,3.33892,-125.51076985017912
13.772295315687138,3.3377,-125.458577795356
13.876811867302289,3.33647,-125.384915701417
13.981328418917434,3.33527,-125.38305655853765
14.08496668018287,3.33405,-125.35195145682074
14.189483231798016,3.33298,-125.29486074249056
14.293999783413163,3.3319,-125.21738857126316
14.398516335028312,3.3308,-125.2455567866876
14.50303288664344,3.32962,-125.16118071368987
14.606671147908894,3.32844,-125.08735700835412
14.711187699524022,3.32721,-125.0642761861421
14.81570425113917,3.32599,-124.99317938263148
14.920220802754317,3.32473,-124.9668522085223
15.024737354369464,3.32353,-124.9480189459942
15.1283756156349,3.32231,-124.89374937544896
15.232892167250048,3.3211,-124.86401372582692
15.337408718865197,3.31979,-124.7958674203526
15.441925270480343,3.31857,-124.76679428481502
15.54644182209549,3.31724,-124.72518174841916
15.650080083360926,3.31595,-124.60119038182026
15.754596634976073,3.31454,-124.5785999554842
15.85911318659122,3.31317,-124.58681950422856
15.963629738206368,3.31175,-124.46117095761626
16.067267999471802,3.31037,-124.4072148460863
16.17178455108695,3.30906,-124.37577030763346
16.2763011027021,3.30767,-124.31306682155896
16.380817654317248,3.30622,-124.26797945516564
16.485334205932375,3.30487,-124.19529427023258
16.58897246719783,3.30342,-124.1491599473134
16.693489018812976,3.30199,-124.11525439925066
