specific_capacity_discharge,voltage_discharge,specific_power_discharge
25.78039760016712,3.28103,-394.7234307647717
26.11456512097193,3.27617,-394.12218819082767
26.44869753645887,3.27134,-393.5771090937602
26.782865057263677,3.26654,-393.04213859558143
27.11703257806849,3.26179,-392.4767844127699
27.451164993555427,3.25709,-391.80093780091954
27.785297409042368,3.25241,-391.2737327817416
28.11946492984718,3.24776,-390.7270491093407
28.453632450651988,3.24319,-390.0546962249232
28.787764866138925,3.2386,-389.5218989538844
29.12193238694374,3.23393,-389.13432249286336
29.45609990774855,3.22936,-388.3460764437652
29.79026742855336,3.2248,-387.9232391247252
30.124399844040298,3.22028,-387.41817418096207
30.45856736484511,3.21584,-386.9319736700875
30.79269978033205,3.21155,-386.3484231539428
31.126867301136866,3.2073,-385.83390684603125
31.46103482194167,3.20307,-385.3634996132932
31.79520234274648,3.19885,-384.862256870261
32.12933475823342,3.19471,-384.3799083666385
32.4635373843561,3.19054,-383.7193161054929
32.79766979984304,3.18641,-383.3655669737464
33.13183732064784,3.18227,-382.9117114077521
33.46596973613479,3.17824,-382.2147170356265
33.8001372569396,3.17439,-381.7103953516232
34.134269672426534,3.17062,-381.3804804051936
34.468437193231345,3.16706,-381.015502602742
34.802569608718294,3.16351,-380.6323954049345
35.13691265611245,3.1601,-380.2001400302333
35.470764229056435,3.15658,-379.7638737239786
35.80496685517911,3.15323,-379.3010643750668
36.139169481301785,3.1498,-378.9135490815515
36.47337210742447,3.14644,-378.5503063383724
36.80757473354715,3.14309,-378.1722905164906
37.141777359669824,3.13977,-377.7414853424707
37.475979985792506,3.1365,-377.2513573444001
37.80983155873648,3.13334,-376.9492892576096
38.144034184859166,3.13033,-376.7149596263235
38.47823681098185,3.12741,-376.3418183541972
38.81243943710452,3.1247,-375.9410707105693
39.146642063227205,3.12203,-375.482923681652
39.48084468934989,3.11941,-375.37597190083096
39.815047315472576,3.1168,-374.76686608098
40.14924994159526,3.1142,-374.7738185010196
40.483452567717926,3.11154,-374.3546098052476
40.81765519384061,3.10899,-374.06628185744415
41.15150676678459,3.10639,-373.679257871699
41.48570939290728,3.10379,-373.4190562381538
41.81991201902996,3.10125,-373.0640835363904
42.15411464515263,3.09882,-372.78704072423
42.48831727127531,3.09654,-372.4912338697181
42.82251989739799,3.09435,-372.2493011743248
43.15672252352067,3.09231,-371.9609014520138
43.49092514964335,3.09034,-371.8133754636553
43.82477672258733,3.08833,-371.5652980790388
44.158979348710005,3.08637,-371.178534767972
44.49318197483269,3.08441,-371.08743544232186
44.82738460095538,3.08239,-370.89972396087023
45.16158722707806,3.08035,-370.5958597837909
45.495789853200726,3.07833,-370.2944787648013
45.829992479323415,3.07629,-369.98493721318846
46.1641951054461,3.07427,-369.80299032304544
46.49839773156878,3.07228,-369.6036058647861
46.83224930451276,3.07039,-369.3944713086208
47.16645193063543,3.06861,-369.2478005595267
